id,address,city,neighborhood,lat,lon,property_type,bedrooms,bathrooms,gla_sqft,lot_size_sqft,year_built,sale_date,sale_price
AB-01876,8454 Glenmore Ave NW,Calgary,Signal Hill,51.032394,-114.163674,Detached,6,4.0,2586,7494,1967,2024-08-25,1203100
AB-02058,1120 Bow Rd SW,Calgary,Signal Hill,51.043826,-114.182303,Detached,5,4.5,3026,5270,2020,2024-09-12,1271000
AB-00169,5029 Cedar Way NE,Calgary,Signal Hill,51.049812,-114.166635,Detached,3,3.0,1425,4015,2016,2025-02-26,581900
AB-02325,3762 Riverside Dr SE,Calgary,Mount Royal,51.021348,-114.123173,Detached,3,4.5,2087,3613,2012,2025-01-26,1373500
AB-01070,8498 Maple Cres NW,Calgary,Mount Royal,51.025903,-114.122457,Detached,5,4.0,2549,4442,1970,2026-01-31,1805600
AB-01363,6008 Whyte Way SW,Calgary,Signal Hill,51.052307,-114.160505,Detached,4,3.5,1899,3565,1966,2025-11-19,759200
AB-01617,4785 Heritage St NW,Calgary,Signal Hill,51.053045,-114.181882,Detached,6,4.5,3053,6723,1999,2025-06-08,1448800
AB-01324,9830 Memorial St NW,Calgary,Mount Royal,51.034688,-114.124146,Detached,2,2.0,1586,6446,1987,2024-12-29,1060600
AB-00824,9148 Spruce Rd SE,Calgary,Signal Hill,51.053437,-114.184018,Detached,5,5.0,2544,7098,1956,2025-01-06,1130100
AB-02037,8900 Elbow Rd NE,Calgary,Signal Hill,51.054658,-114.173938,Detached,5,4.5,2862,3562,1956,2024-08-27,1122300
AB-01869,3677 Cedar Dr NE,Calgary,Signal Hill,51.055902,-114.175749,Detached,5,5.0,2629,2842,2023,2025-12-31,1115700
AB-00896,6710 Township Cres SE,Calgary,Signal Hill,51.055282,-114.183594,Detached,5,4.5,2691,4175,2015,2025-09-10,1288500
AB-01381,7042 Prospect Way SW,Calgary,Kensington,51.036455,-114.120847,Detached,5,4.5,2727,6439,2023,2025-07-25,1652600
AB-02103,4667 Whyte Cres SW,Calgary,Signal Hill,51.055338,-114.154069,Detached,5,2.0,1992,6987,1979,2025-05-19,887300
